,City,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
269,Mīzan Teferī,74.93,51,6,0.78,ET,1638768958,6.9833,35.5833
270,Sibolga,86.54,61,72,5.01,ID,1638768958,1.7427,98.7792
271,Estelle,70.0,84,1,9.22,US,1638768921,29.8458,-90.1067
272,Ponta do Sol,65.03,63,15,9.4,PT,1638768959,32.6667,-17.1
273,Piacenza,37.76,83,30,1.9,IT,1638768959,45.0468,9.6994
274,Kanniyākumāri,83.86,69,100,1.72,IN,1638768960,8.0833,77.5667
275,Colesberg,60.35,50,17,15.01,ZA,1638768853,-30.72,25.0972
276,Maun,72.48,64,100,3.6,BW,1638768791,-19.9833,23.4167
277,Saint-Pierre,85.64,60,0,9.22,RE,1638768960,-21.3393,55.4781
278,Saskylakh,-28.19,98,94,5.08,RU,1638768739,71.9167,114.0833
279,Banff,5.38,78,83,4.61,CA,1638768961,51.1762,-115.5698
280,Tarma,51.31,90,100,2.33,PE,1638768961,-11.4197,-75.6908
281,Sabang,81.73,74,89,14.23,ID,1638768662,5.8933,95.3214
282,Saint Paul Harbor,35.11,80,90,13.8,US,1638768787,57.79,-152.4072
283,Saldanha,60.85,85,100,16.26,ZA,1638768962,-33.0117,17.9442
284,Cap Malheureux,82.89,66,22,11.99,MU,1638768963,-19.9842,57.6142
285,Miraflores,59.04,65,83,1.97,MX,1638768963,19.2167,-98.8083
286,Inuvik,5.76,82,20,6.91,CA,1638768953,68.3499,-133.7218
287,Kavieng,84.16,73,92,10.92,PG,1638768964,-2.5744,150.7967
288,Palestine,52.93,81,23,3.4,PS,1638768964,31.9216,35.2033
289,São João da Barra,74.1,88,95,15.39,BR,1638768965,-21.6403,-41.0511
290,Vila Velha,75.15,91,40,4.61,BR,1638768886,-20.3297,-40.2925
291,Isangel,87.91,62,20,5.75,VU,1638768816,-19.55,169.2667
292,La Ronge,-10.95,70,1,5.75,CA,1638768966,55.1001,-105.2842
293,Srednekolymsk,-45.29,99,92,4.25,RU,1638768967,67.45,153.6833
294,Mosquera,50.09,93,20,4.61,CO,1638768967,4.7059,-74.2302
295,Sicuani,46.47,88,100,2.53,PE,1638768968,-14.2694,-71.2261
296,Ferrol,54.36,91,100,11.86,ES,1638768761,43.4832,-8.2369
297,Vao,76.6,82,100,12.62,NC,1638768969,-22.6667,167.4833
298,Camaná,67.19,88,100,5.17,PE,1638768969,-16.6228,-72.7111
299,Dawlatabad,56.08,41,29,6.04,AF,1638768970,36.4141,64.9053
300,Lake Shasta,56.86,63,74,6.73,US,1638768970,40.6804,-122.3708
301,Tautira,82.42,74,80,17.25,PF,1638768971,-17.7333,-149.15
302,Ozernovskiy,34.57,81,100,20.22,RU,1638768971,51.5,156.5167
303,Snezhnogorsk,2.98,77,64,29.57,RU,1638768972,69.1933,33.2531
304,Alanya,51.93,58,0,4.09,TR,1638768972,36.5438,31.9998
305,Baymak,24.84,96,100,3.98,RU,1638768973,52.5933,58.3225
306,Mogadishu,82.27,78,20,11.5,SO,1638768973,2.0371,45.3438
307,Panabá,69.37,95,0,6.51,MX,1638768974,21.2833,-88.2667
308,Kargil,18.21,69,66,1.92,IN,1638768974,34.5667,76.1
309,Acajutla,80.71,64,47,8.19,SV,1638768975,13.5928,-89.8275
310,Port Blair,81.97,58,75,12.97,IN,1638768975,11.6667,92.75
311,Wanning,74.84,52,97,14.58,CN,1638768976,18.8003,110.3967
312,Punta Alta,62.78,70,0,8.9,AR,1638768972,-38.8759,-62.0736
313,Chui,61.7,93,46,5.21,UY,1638768964,-33.6971,-53.4616
314,Longyearbyen,22.84,86,75,14.97,SJ,1638768977,78.2186,15.6401
